"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13
AD,Y1,,,,,,0.88,,ES,D10,,
AD,Y41,,,,,,8.3,,ES,D9,,
AD,Y36,,,,,,8.7,,ES,D5 ,,
AD,Y34,,,,,,9.0,,ES,D9,,
AD,Y3,,,,,medicines,13.84,,ES,D9,,
AD,Y16,,,,,,16.78,,ES,D9,,
AD,Y29,,,,,fluorescents lights and batteries (watch battery and others without Hg),24.02,,ES,,R4,
AD,Y42,,,,,,45.23,,ES,D9,,
AD,Y9,,,,,,109.33,,ES,,R3,
AD,Y31,,,,,batteries (and Y34),172.36,,ES,,R4,
AD,Y13,,,,,paint and water with glue,229.52,,ES,D9,,
AD,Y8,,,,,,236.76,,ES,,R9,
AD,Y47,,,,,ashes,406.88,,ES,D5 ,,
AD,Y47,,,,,ashes,971.82,,FR,D5 ,,
AE,Y10,Transformers with PCB - containing oil,,9.0,H13,,3.5,"EG,DE",SE,D10,,
AE,Y_,obsolete and redundant chemicals from hospitals,,,"H3,H4.1,H4.2,H4.3,H5.1,H6.1,H8",,45.0,"EG,IT,GB",DE,D10,,
AE,Y_,Pesticides,,,H6.1,,50.0,"EG,DE",DK,D10,,
AE,Y9,Waste Oil.,,,H12,,50.0,"EG,DE",DK,D10,,
AE,Y22,Copper wire scrap,,,,,90.0,DE,PL,,R4,
AE,Y35,Battries ,,,,,100.0,"EG,DE",DK,D10,,
AE,Y35,Crossive solution,,,H8,,100.0,"EG,DE",DK,D10,,
AE,Y_,"waste Lathium Batteries, lathium batteries in equipment 
",A1170,9.0,,,130.0,"KR,EG,US",CA,,R4,
AE,Y_,organic liquid and sold waste,,,"H5.1,H3,H6.1",,200.0,"EG,DE",DK,D10,,
AR,"Y20,Y21,Y22,Y23,Y25,Y26,Y27,Y29,Y31",E-wastes,,,,,104.0,,SE,,R4,
