"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
AD,Y1,,,,,,1.59,,ES,D10,,,,,,,
AD,Y3,,,,,medicines,8.2,,ES,D9,,,,,,,
AD,Y8,,,,,,265.7,,ES,,R9,,,,,,
AD,Y9,,,,,,145.03,,ES,,R3,,,,,,
AD,Y10,,,,,transformers with PCB's,11.91,,ES,D10,,,,,,,
AD,Y13,,,,,paint and water with glue,209.89,,ES,D9,,,,,,,
AD,Y16,,,,,,21.84,,ES,D9,,,,,,,
AD,Y29,,,,,fluorescents lights and batteries (watch battery and others without Hg),10.78,,ES,,R4,,,,,,
AD,Y31,,,,,"batteries (and Y34), and Pb",268.09,,ES,,R4,,,,,,
AD,Y34,,,,,,6.3,,ES,D9,,,,,,,
AD,Y36,,,,,,19.97,,ES,D5,,,,,,,
AD,Y41,,,,,,1.6,,ES,D9,,,,,,,
AD,Y42,,,,,,59.88,,ES,D9,,,,,,,
AD,Y45 ,,,,,Halo 1301 and NAF SIII,0.39,,ES,D10,,,,,,,
AD,Y47,,,,,ashes,1238.54,,FR,D5 ,,,,,,,
AE,Y_,organic liquid and solid waste ,,,"H5.5,H3,H6.1",,200.0,"EG,DE",DK,D10,,,,,,,
AE,Y_,Pesticides,,,H6.1,,50.0,"EG,DE",DK,D10,,,,,,,
AE,Y9,Used Oil,,,H12,,50.0,"EG,DE",DK,D10,,,,,,,
AE,"Y21,Y23,Y26,Y29,Y31,Y33,Y34,Y35,Y39,Y40,Y41,Y42,Y45",Obsolete and redundant chemicals from hospitals.,A4140,,"H12,H3,H4.1,H4.2,H4.3,H5.1,H6.1,H8",,45.0,"EG,IT,GB,AL",DE,D10,,,,,,,
AE,Y35,Corrosive solutions,,,H8,,100.0,"EG,DE,",Dk,D10,,,,,,,
AE,Y35,Batteries,,,,,100.0,"EG,DE",Dk,D10,,,,,,,
AM,Y_,"Waste lead-acid batteries, whole or crushed",A1160,,,"Waste lead-acid batteries, whole or crushed",91.9,,IR,,R_,,,,,,
AR,Y10,PCB,,2315.0,"H11,H12",PCB oils,180.0,"BR,ES,BE",FR,D10,,,,,,,
AR,"Y20, Y21,Y22, Y23, Y25, Y26, Y27, Y29, Y31",E-wastes,,,,,34.0,,SE,,R4,,,,,,
AU,"Y31,Y34",Used lead acid batteries,A1160,"6.1, 8","H6.1,H8",,12000.0,,NZ,,R4,,,,,,
AU,"Y31,Y34",Used lead acid batteries,A1160,"6.1, 8","H6.1,H8",,4000.0,,KR,,R4,,,,,,
AU,"Y12,Y45",Waste electrical and electronic scrap,A1180,9.0,"H11,H12",,2500.0,,TH,,"R3,R4,R5",,,,,,
AU,Y31,Waste glass cullet from cathode ray tubes,A2010,"6.1, 9","H6.1,H11,H12",,440.0,,NL,,R5,,,,,,
AU,Y32,Spent Pot Linings,A4050,"4.3, 9","H4.3,H11,H12",,15600.0,,IT,,R5,,,,,,
AU,Y31,Lead solder dross,A1020,"6.1, 8","H6.1,H8",,80.0,,DE,,R4,,,,,,
AU,Y31,Waste electrical and electronic equipment and assemblies,A1180,"6.1, 8","H6.1,H8",,4000.0,,SG,,R4,,,,,,
AT,Y_,sludge from treatment of waste water,,,H13,,100.0,,DE,,R5,,,,,,
AT,Y_,sludge from treatment of waste water,,,H13,,355.5,,DE,,R12,,,,,,
AT,Y_,contaminated soil,,,H13,,88.6,,DE,D1,,,,,,,
AT,Y_,waste elecronic equipment,A1180,,H13,,3.0,,DE,,R4,,,,,,
AT,Y_,contaminated water,,,H13,,24.0,DE,NL,D8,,,,,,,
AT,Y_,sludge from c/p-treatment,,,H12,heavy metals containing ,159.0,"SK,PL",FI,,R4,,,,,,
AT,Y1,,,6.2,H6.2,infetioopus waste,278.0,,DE,D10,,,,,,,
AT,Y2,,A3140,3.0,H3,solvent mixtures,80.0,,DE,,R2,,,,,,
AT,Y3,,A4010,,H13,unsorted medicines,168.0,,DE,D10,,,,,,,
AT,Y4,,A4030,3.0,H3,solvent containig liquids,1712.9,,DE,D10,,,,,,,
AT,Y6,,A3140,,H11,solvent mixtures,0.9,,DE,,R13,,,,,,
AT,Y6,,A3150,,H11,halogenated solvents,12.5,,DE,,R13,,,,,,
AT,Y6,,,,H13,break fluid,164.4,,DE,,R3,,,,,,
AT,Y6,,A3140,3.0,H3,solvent mixtures,274.5,,DE,,R2,,,,,,
AT,Y6,,A3140,3.0,H3,solvent mixtures,0.9,,DE,,R2,,,,,,
AT,Y7,,A4050,6.1,H6.1,cyanidic salts,15.5,,DE,D12,,,,,,,
AT,Y8,,,,H12,oily wastes from craft shops,430.0,,CH,D10,,,,,,,
AT,Y8,,,,H12,oily wastes from craft shops,548.3,,DE,D10,,,,,,,
AT,Y8,,A3020,,H13,used mineral oil,8594.7,,DE,,R9,,,,,,
AT,Y8,,A3040,,H13,used mineral oil,408.2,,DE,,R9,,,,,,
AT,Y8,,A3040,,H13,used mineral oil,135.0,,DE,,R9,,,,,,
AT,Y8,,A4060,,H13,grit chamber content,1481.0,,DE,,R5,,,,,,
AT,Y11,,,,H11,tar impregnated wood,25874.5,,DE,,R1,,,,,,
AT,Y11,,A1190, ,H11,tar isolated cable,642.0,,DE,,R4,,,,,,
AT,Y12,,A4070,,H13,container with residues,105.7,,DE,,R12,,,,,,
AT,Y12,,A4070,3.0,H3,printing ink,198.0,,DE,D10,,,,,,,
AT,Y12,,A4070,3.0,H3,waste paint,175.0,,DE,D10, ,,,,,,
AT,Y12,,A3140,3.0,H3,polluted solvents,114.0,,DE,,R2,,,,,,
AT,Y13,,A3050,,H13,softener,20.0,,DE,D10,,,,,,,
AT,Y13,,A4140,4.3,H4.3,production residues,20.0,,DE,D10,,,,,,,
AT,Y14,,A4140,9.0,H13,container with residues,12.0,,DE,,R4,,,,,,
AT,Y14,,A4140,,H13,collected wastes from labs,20.0,,DE,D10,,,,,,,
AT,Y14,,A4140,2.0,H6.1,gases under pressure,0.1,,DE,D10,,,,,,,
AT,Y16,,,9.0,H12,concentrates,1166.4,,DE,,R5,,,,,,
AT,Y17, ,,, ,metal sludge,350.0,,SK, ,R4,,,,,,
AT,Y17,,,,,blasting sand,468.0,,DE,,R4,,,,,,
AT,Y17,,,,,metal sludge,591.0,,SK,,R4,,,,,,
AT,Y17,,,,,plastic sludge,21.0,,DE,,R4,,,,,,
AT,Y17,,,,,NE-metal scrap,500.0,SI,HR,,R4,,,,,,
AT,Y17,,A1050,,H13,electroplating sludge,55.1,,DE,,R5,,,,,,
AT,Y17,,A1050,,H11,electroplating sludge,339.5,,DE,,R4,,,,,,
AT,Y17,,A1050,,H11,electroplating sludge,160.0,,DE,,R4,,,,,,
AT,Y17,,A1050,,H11,electroplating sludge,56.6,,DE,,R4,,,,,,
AT,Y17,,A1050,,H11,electroplating sludge,1160.4,,DE,,R5,,,,,,
AT,Y17,,A1050,,H12,c/p-sludge,3.6,,DE,,R4,,,,,,
AT,Y17,,,8.0,H13,hardening salts,87.8,,DE,D12,,,,,,,
AT,Y17,,A1060,8.0,H8,picling solution,20.0,,DE,,R4,,,,,,
AT,Y17,,,,H13,sludge from mechanical treatment,123.5,,DE,,R4,,,,,,
AT,Y18,,,,,scrap,3122.0,,DE,,R4,,,,,,
AT,Y18,,,,H13,sludge from c/p-treatment,125.0,,DE,D13,,,,,,,
AT,Y18,,,4.3,H4.3,salt slag,27123.3,,DE,,R4,,,,,,
AT,Y18,,,4.3,H4.3,salt slag,1809.0,DE,FR,,R4,,,,,,
AT,Y18,,,4.3,H4.3,salt slag,20.6,,DE,,R4,,,,,,
AT,Y18,,A4100,6.1,H11,filter dust,823.5,,DE,,R5,,,,,,
AT,Y18,,A4100,6.1,H11,vanadium bearing ashes,188.8,,DE,,R4,,,,,,
AT,Y18,,,4.1,H4.1,pre-mixed wastes,27.3,,DE,D10,,,,,,,
AT,Y18,,,,H13,liquid wastes,798.1,,DE,D10,,,,,,,
AT,Y18,,A4020,,H12,waste medicines,60.0,,CH,D10,,,,,,,
AT,Y18,,,,H12,oil containing sludge,456.0,,DE,,R1,,,,,,
AT,Y18,,,4.1,H4.1,wastes from craft shops,130.4,,DE,D10,,,,,,,
AT,Y18,,,,H12,wastes from craft shops,644.7,,CH,D10,,,,,,,
AT,Y18,,A3120, ,H13,FLUFF,3522.4,,CH,D10,,,,,,,
AT,Y18,,A3120,,H12,FLUFF,5293.3,,DE,,R12,,,,,,
AT,Y18,,A3120,,H13,FLUFF,1304.5,,DE,D10,,,,,,,
AT,Y18,,A2030,,H13,catalysts,434.0,,DE,,R5,,,,,,
AT,Y18,,,4.1,H4.1,pre-mixed wastes,823.6,,DE,D10,,,,,,,
AT,Y18,,,,H13,c/p-sludge,100.0,,DE,,R13,,,,,,
AT,Y18,,A3150,3.0,H3,solvent-water mixtures,2363.0,,DE,D10,,,,,,,
AT,Y18,,,,H13,rsidues from shredding,624.0,,DE,,R4,,,,,,
AT,Y18,,A2030,4.2,H4.2,spent catalysts,0.1,,DE,,R4,,,,,,
AT,Y18,,,,H13,waste water treatment sludge,2071.6,,DE,,R5,,,,,,
AT,Y18,,,,H13,waste water treatment sludge,250.0,,DE,,R10,,,,,,
AT,Y18,,,,H13,waste water treatment sludge,1228.0,,DE,,R12,,,,,,
AT,Y18,rubber and plastics,,,,RDF mixture ,1222.5,,CH,,R1,,,,,,
AT,Y18,,,,,shredding residues,7047.7,,DE,,R4,,,,,,
AT,Y18,,,,,RDF mixture ,26889.1,,HU,,R1,,,,,,
AT,Y18,,,,,shredding residues,1165.8,,DE,,R3,,,,,,
AT,Y18,,A3120,,,FLUFF,7900.5,,DE,,R12,,,,,,
AT,Y18,,,,,RDF mixture ,1523.0,,HU,,R1,,,,,,
AT,Y18,,,,,RDF mixture ,35834.3,,SK,,R12,,,,,,
AT,Y18,,,,,RDF mixture ,80366.4,,SK,,R1,,,,,,
AT,Y18,,,,,RDF mixture ,1005.1,,SK,,R1,,,,,,
AT,Y18,,,,,RDF mixture ,1383.1,,SK,,R1,,,,,,
AT,Y18,,,,,RDF mixture ,25.0,,DE,,R12,,,,,,
AT,Y18,,,, ,scrap mixture,100.0,,DE, ,R4,,,,,,
AT,Y18,,,,,scrap,96.0,,SK,,R4,,,,,,
AT,Y18,,,,,mineral waste,250.0,,DE,,R5,,,,,,
AT,Y18,,,,,RDF mixture ,1088.4,,HU,,R1,,,,,,
AT,Y18,,,,,scrap from mechanical treatment,98.0,,DE,,R4,,,,,,
AT,Y18,,,,,sewer sludge,275.0,,DE,D10,,,,,,,
AT,Y18,,,, ,sewer sludge,40.0,,SK, ,R1,,,,,,
AT,Y22,,A1100,,H11,filter dusts,437.8,DE,BE,,R4,,,,,,
AT,Y22,,,,H11,sludge from mechanical treatment,35.9,,DE,,R4,,,,,,
AT,Y22,,A1130,8.0,H8,etching solutions,48.0,,IT,,R4,,,,,,
AT,Y22,,A1130,8.0,H13,etching solutions,360.0,,DE,,R4,,,,,,
AT,Y22,,,8.0,H8,bases,152.0,,DE,D10,,,,,,,
AT,Y22,,A1130,8.0,H8,etching solutions,20.4,DE,BE,,R4,,,,,,
AT,Y22,,A1050,,,copper bearing sludge,1053.1,,DE,,R4,,,,,,
AT,Y23,,A4100,,,Zn bearing dust,92.0,"DE,CZ",PL, ,R4,,,,,,
AT,Y23,,A4100,, ,Zn bearing dust,870.0,,DE, ,R4,,,,,,
AT,Y23,,A1170,8.0,H8,alkaline batteries,577.1,,DE,,R4,,,,,,
AT,Y23,,A4100,,H12,filter dust,13.3,,DE,,R4,,,,,,
AT,Y23,,A1080,,H13,filter dust,94.6,,DE,,R4,,,,,,
AT,Y23,,A4100,,H11,steelwork dust,7142.5,,DE,,R4,,,,,,
AT,Y23,,A4100,,H11,steelwork dust,52841.2,,DE,,R4,,,,,,
AT,Y23,,A4100,,H11,steelwork dust,1298.0,DE,PL,,R4,,,,,,
AT,Y23,,A4100,,H11,cupola dust,100.0,,DE,,R4,,,,,,
AT,Y23,,A1060,8.0,H8,picling solution,1071.0,,DE,,R4,,,,,,
AT,Y23,,A1170,8.0,H8,alkaline batteries,60.0,,DE,,R4,,,,,,
AT,Y23,,A1170,8.0,H8,alkaline batteries,168.7,DE,FR,,R4,,,,,,
AT,Y23,,A1180,,H13,WEEE,5.7,,DE,,R4,,,,,,
AT,Y23,,,,H11,contaminated ZnO,165.7,,DE,,R4,,,,,,
AT,Y24,,,2.0,H6.1,gases under pressure,0.1,,DE,D10,,,,,,,
AT,Y26,,A1170,8.0,H8,Ni-Cd-batteries,260.0,DE,FR,,R4,,,,,,
AT,Y29,,A1170,8.0,H6.1,mercury batteries,8.0,,DE,,R4,,,,,,
AT,Y29,,A1030,,H12,amalgam separator,10.3,,DE,,R4,,,,,,
AT,Y29,,A1030,,H12,Hg-bearing dusts,8.0,,DE,D12,,,,,,,
AT,Y29,,A1030,,H12,Hg-contaminated glass,40.0,,DE,,R5,,,,,,
AT,Y31,,A1100,,H11,filter dust,1298.4,DE,BE,,R4,,,,,,
AT,Y31,,A2010,,H11,glas,742.3,,DE,,R5,,,,,,
AT,Y31,,A2010,,H11,TV tubes,622.5,,DE,,R5,,,,,,
AT,Y31,,A1160,8.0,H8,lead batteries,200.0,,DE,,R13,,,,,,
AT,Y31,,A1020,,H12,lead containing ceramics,60.5,,DE,,R4,,,,,,
AT,Y31,,A1160,8.0,H8,lead batteries,1234.1,,DE,,R4,,,,,,
AT,Y31,,A4060,,H11,lead containing sludge,60.4,,DE,,R4,,,,,,
AT,Y31,,A1180,,H11,TV tubes,920.5,,CH,,R5,,,,,,
AT,Y31,,A2010,,H11,glas,547.1,,DE,,R5,,,,,,
AT,Y31,,A2010,,H11,glas,20.0,,DE,D9, ,,,,,,
AT,Y31,,A2010,,H11,glas,175.0,,DE,,R5,,,,,,
AT,Y31,,A1120,,H11,lead bearing sludge,96.7,DE,BE,,R4,,,,,,
AT,Y33,,A4050,6.1,H6.1,hardening salts,11.5,,DE,D12,,,,,,,
AT,Y34,,A4090,8.0,H8,oil containing acid,50.9,,DE,,R5,,,,,,
AT,Y34,,A4090,8.0,H8,acid,330.0,DE,BE,,R6,,,,,,
AT,Y35,,A4090,8.0,H8,tall soap,2349.7,DE,PL,,"R13,R3 ",,,,,,
AT,Y36,,A4130,9.0,H11,asbestos containig container,48.0,,DE,,R4,,,,,,
AT,Y36,,A2050,9.0,H11,asbestos,12.5,,DE,D12,,,,,,,
AT,Y36,,A1180,9.0,H11,asbestos containing WEE,25.0,,DE,,R4,,,,,,
AT,Y39,,A3070,,H13,reaction residies,120.0,,DE,,R5,,,,,,
AT,Y41,,A3150,3.0,H6.1,halogenated solvents,115.0,,DE,D10,,,,,,,
AT,Y41,,A3150,6.1,H6.1,sludges,58.7,,DE,,R2,,,,,,
AT,Y41,,A3150,6.1,H6.1,dichloro methane,241.6,,DE,,R2,,,,,,
AT,Y42,,A3140,3.0,H3,solvent water mixturs,1308.1,,DE,D10,,,,,,,
AT,Y42,,,,H13,solvent containing residues,1.2,,DE,,R4,,,,,,
AT,Y42,,,4.1,H41,solvent containing residues,6.6,,DE,,R4,,,,,,
AT,Y42,,A3140,3.0,H3,solvents,19.0,,DE,,R2,,,,,,
AT,Y42,,,,H13,solvent containing residues,9.3,DE,BE,,R2,,,,,,
AT,Y42,,A3140,3.0,H3,solvent containing residues,0.5,,DE,,R4,,,,,,
AT,Y42,,A3140,3.0,H3,solvent mixtures,1586.6,,DE,,R3,,,,,,
AT,Y45,,,,H12,CFCs,19.9,,DE,,R3,,,,,,
AT,Y45,,,,H12,CFCs,104.3,,DE,D10,,,,,,,
AT,Y45,,,3.0,H3,production residues,45.0,,DE,,R5,,,,,,
AT,Y46,,,,,municipal wastes,4807.0,,CH,D10,,,,,,,
AT,Y46,,,,,pre-treated wastes,6256.2,,CH,D10,,,,,,,
AT,Y46,,,,,pre-treated wastes,612.0,,CH,D10,,,,,,,
AT,Y46,,,,,kitchen wastes,10.0,,DE,,R3,,,,,,
AT,Y46,,,,,municipal wastes,99553.1,,DE,D10,,,,,,,
AT,Y46,,,,,bulky wastes,406.9,,DE,,R3,,,,,,
AT,Y47,,A4100,,,fly ashes,7632.5,,DE,,R5,,,,,,
AT,Y47,,,,H13,used filter,15.0,,DE,,R12,,,,,,
AT,Y47,,A4100,,H13,fly ashes,975.0,,DE,D12,,,,,,,
AT,Y47,,,,,slags,11529.4,,DE,,R5,,,,,,
AT,Y47,,A4100,6.1,H13,flue gas cleaning residues,250.0,,DE,,R5,,,,,,
AT,Y47,,A4100,,H13,fly ashes,12788.6,,DE,,R5,,,,,,
AT,Y47,,A4100, ,H13,flue gas cleaning residues,2679.0,,DE,D12, ,,,,,,
BA,"Y2,Y3",pharmacutical waste,A4010,,"H3,H6.1,H11",,100.0,"HR,SI",AT,D10,,,,,,,
BA,Y18,contaminated soli,A3020,,H13,,200.0,"HR,SI",AT,D8,,,,,,,
BA,"Y8,Y9", oil and fat,A3020,,"H12,H13",,400.0,"HR,SI",AT,D10,,,,,,,
BA,"Y21,Y26,Y33",laboratory chemicals,A4140,,"H3,H4.1",,50.0,"HR,SI",AT,D10,,,,,,,
BA,"Y10,Y12,Y41,Y45",other solvent,A3150,,"H3,H4.1,H6.1,H12",,100.0,"HR,SI",AT,D10,,,,,,,
BA,Y29,fluorescent tubes,A1180,,H12,,20.0,"HR,SI",AT,,"R4,R5",,,,,,
BE,Y_,,,,H6,,35.75,,DE,D10,,,,,,,
BE,Y_,,,,H6,,54.1,,DE,,R1,,,,,,
BE,Y_,,,,H6,,125.9,,DE,,R2,,,,,,
BE,Y_,,,,H6,,9.6,,DE,,R4,,,,,,
BE,Y_,,,,H6,,97.3,,DE,,R11,,,,,,
BE,Y_,,,,H6,,2352.4,,DE,,R13,,,,,,
BE,Y_,,,,H6,,0.7,,NL,,R4,,,,,,
BE,Y_,,,,H6,,9050.89,,NL,,R12,,,,,,
BE,Y1,,,,H9,,163.0,,FR,D10,,,,,,,
BE,Y1,,,,H9,,376.525,,FR,,R12,,,,,,
BE,Y1,,,,H9,,136.4,,DE,D10,,,,,,,
BE,Y1,,,,H6.2,,111.3,,DE,D10,,,,,,,
BE,Y1,,,,,,1153.58,,NL,,R3,,,,,,
BE,Y1,,,,,,6.832,,NL,,R4,,,,,,
BE,Y2,,,,,,53.12,,NL,D8,,,,,,,
BE,Y5,,,,,,2088.546,,DE,,R1,,,,,,
BE,Y5,,,,,,3991.770501,,DE,,R1,,,,,,
BE,Y5,,,,,,12670.962089999985,,DE,,R1,,,,,,
BE,Y5,,,,,,1262.10131,,DE,,R1,,,,,,
BE,Y5,,,,,,24355.68154700003,,NL,,R1,,,,,,
BE,Y5,,,,,,711.871,,SE,,R1,,,,,,
BE,Y5,,,,,,9055.88,,DE,,R3,,,,,,
