"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
AD,Y1,,,,,Clinical medical waste,2.4,,ES,D10,
AD,Y3,,,,,"Waste pharmaceuticals, drugs and medicines",11.0,,ES,D9,
AD,Y8,,,,,Waste mineral oils,192.6,,ES,,R9
AD,Y9,,,,,"Waste oils/water, hydrocarbons/water mixtures, emulsions",78.2,,ES,,R3
AD,"Y12,Y13",,,,,Waste of pain and varnish / Waste of glue and water glue,169.8,,ES,D9,
AD,Y16,,,,,Waste photographic chemicals,15.0,,ES,D9,
AD,Y29,,,,,Fluorescent lights and batteries,18.0,,ES,,R4
AD,Y31,,,,,Batteries ,187.7,,ES,,R4
AD,Y34,,,,,Lab reagents and inorganic acids,10.0,,ES,D9,
AD,Y36,,,,,Asbestos,6.7,,ES,D5,
AD,Y41,,,,,Halogenated organic solvents,2.0,,ES,D9,
AD,Y42,,,,,Organic solvents excluding halogenated solvents,25.0,,ES,D9,
AD,Y47,,,,,Ashes from the incineration of household wastes,976.3,,FR,D5,
AE,Y31,Used lead acid batteries ,,8.0,13.0,,14500.0,,KR,,R4
AE,Y18,"Waste Sludge containing precious metals (salts of Tellurium, Selenium, lead and copper with traces of precious metals) ",,9.0,12.0,,15.0,,BE,,R4
AE,Y31,Used lead acid batteries ,,9.0,11.0,,7000.0,,KR,,R4
AE,"Y31, Y34",Used lead acid batteries Rains / Rinks ,,9.0,11.0,,6000.0,,PH,,R12
AE,"Y21, Y23, Y26, Y29, Y31, Y33, Y34, Y35, Y39, Y40, Y41, Y42, Y45",Obselete and redundant chemicals from hospitals ,,"3, 4.1, 4.2, 4.3, 5.1, 6.1, 8, 9","H12, H3, H4.1, H4.2, H4.3, H5.1, H6.1, H8",,45.0,"UK, IT, EG, NL ",DE,D10,
AE,Y_,Used lithium Batteries and used lithium batteries contained in equipment ,,9.0,11.0,,12.0,US,CA,,R4
AM ,Y_,"Waste lead-acid batteries, whole or crushed",A1160,,,"Waste lead-acid batteries, whole or crushed",2000.0,,IR,,R_
AU,Y33,Second Cut Pot Lining,A4050,4.3,H4.3,,12000.0,"SG, MY, EG, DE, BE",GB,,R5
AU,"Y31, Y26",Mixed Batteries,A1170,9.0,H13,,180.0,,KR,,"R4, R5"
AU,Y22,Lead Dross,GB040,"6, 1, 9","H6.1, H11, H12",,7000.0,ZA,BE,,R4
AU,Y33,Second Cut Pot Lining,A4050,,H4.3,,18000.0,EG,ES,,R5
AU,"Y22, Y23",Spent Catalysts,A2030,4.2,H4.2,,700.0,,NL,,R8
AU,"Y22, Y23",Spent Catalysts,A2030,4.2,H4.2,,180.0,,KR,,R8
AU,"Y22, Y23, Y29, Y31",Spent Catalysts,A2030,4.2,H4.2,,200.0,"SG, LK, EG, GB, BE, NL, DE",CH,,R4
AU,"Y22, Y23",Spent Catalysts,A2030,4.2,H4.2,,500.0,"SG, LK, EG, GB, BE, NL, DE",CH,,"R4, R8"
AU,"Y24, Y26, Y27, Y29, Y31",Silver-rich Sands,A1020 and A1030,6.1,H12,,1400.0,"SG, EG",BE,,R4
AU,"Y31, Y26",Mixed Batteries,A1170,9.0,H13,,150.0,,KR,,"R4, R5"
AT ,Y_,,AC170,-,H13,impregnated wood,1191.2,-,DE,,R1
AT ,Y_,,AC170,-,H13,impregnated wood,124.3,-,DE,,R3
AT ,Y_,,A4140,6.1,H6.1,expired test kits,13.0,-,DE,,R5
AT ,Y_,,A4130,2,H6.1,gas in cylinders,0.05,-,DE,D9,
AT ,Y_,,-,-,H13,impregnated wood,218.3,-,DE,,R3
AT ,Y_,,-,-,H13,metal sludge,64.0,-,DE,,R4
AT ,Y_,,A2030,-,H13,aluminiumoxide catalysts,381.1,-,DE,,R5
AT ,Y_,,-,-,H12,metal hydroxide sludge,957.4,"SK, PL",FI,,R4
AT ,Y_,,-,-,H13,contaminated soil,1913.6,DE,NL,,R5
AT ,Y_,,-,-,H13,contaminated demolition waste,458.5,DE,NL,,R5
AT ,Y_,,-,-,H12,crude tal oil,984.5,CZ,PL,,R3
AT ,Y1,clinical wastes,A4020,6.2,H6.2,infectious wastes,174.5,-,DE,D10,
AT ,Y1,clinical wastes,A4010,-,H12,expired medicines,132.0,-,CH,,R1
AT ,Y2,production wastes,A3140,3,H3,solvent containing waste,868.4,-,DE,,R2
AT ,Y2,production wastes,A3140,3,H3,solvent containing waste,524.8,DE,NL,,R2
AT ,Y2,production wastes,A4010,6.1,H6.1,solvent containing waste,47.4,DE,GB,,R2
AT ,Y2,production wastes,A4010,-,H12,solvent containing waste,106.5,-,DE,,R2
AT ,Y3,waste medicines,A4010,4.1,H4.1,mixed medicines,111.9,-,DE,D10,
AT ,Y5,tar containing wastes,AC170,-,H11,railway sleepers,20776.3,-,DE,,R1
AT ,Y5,tar containing wastes,AC170,-,H11,railway sleepers,3953.3,-,DE,,R12
AT ,Y6,wastes from FPU of solvents,A3140,3,H3,solvents,537.9,-,DE,,R2
AT ,Y6,wastes from FPU of solvents,AC070,-,H13,break fluid,231.7,-,DE,,R12
AT ,Y6,wastes from FPU of solvents,A3140,3,H3,solvent mixtures,186.0,DE,NL,,R2
AT ,Y6,wastes from FPU of solvents,A3150,6.1,H11,perchloreethylene,29.5,-,DE,,R13
AT ,Y6,wastes from FPU of solvents,A3140,3,H3,solvent mixtures,11.6,-,DE,,R2
AT ,Y7,cyanidic wastes,A4050,6.1,H6.1,hardening salts,1.8,-,DE,D12,
AT ,Y8,waste oil,-,-,H12,oily wastes from garages,773.5,-,CH,D10,
AT ,Y8,waste oil,-,-,H12,oily wastes from garages,311.5,-,CH, ,R1
AT ,Y8,waste oil,-,-,H13,oily wastes from garages,268.6,-,DE,D10, 
AT ,Y8,waste oil,A3020,-,H13,waste oil,468.4,-,DE,,R9
AT ,Y8,waste oil,A3020,-,H13,turbin oil,67.7,-,DE,,R9
AT ,Y8,waste oil,A3020,-,H13,waste oil,72.0,-,HU,,R9
AT ,Y8,waste oil,A3020,-,H13,waste oil,119.7,-,SK,,R1
AT ,Y8,waste oil,A3020,-,H13,waste oil,21488.7,-,DE,,R9
AT ,Y10,PCB wastes,A1180,9,H13,equipment containing PCB,13.3,DE,SE,,R4
AT ,Y11,tar containing wastes,-,-,H13,contaminated C&D waste,13829.7,DE,NL,,R12
AT ,Y11,tar containing wastes,A3190,-,H11,tar residues,1539.2,-,DE,,R12
AT ,Y11,tar containing wastes,AC170,-,H13,impregnated wood,2251.4,-,DE,,R3
AT ,Y11,tar containing wastes,AC170,-,H13,railway sleepers,1985.6,-,DE,,R1
AT ,Y11,tar containing wastes,A1190,-,H11,tar containing cables,735.9,-,DE,,R4
AT ,Y12,wastes from FPU of paints,A4070,3,H3,waste paint,102.8,-,DE,D10,
AT ,Y12,wastes from FPU of paints,A3140,3,H3,paint containing solvents,132.0,-,DE,,R12
AT ,Y12,wastes from FPU of paints,A4070,3,H3,waste paint,18.6,-,DE, ,R12
AT ,Y12,wastes from FPU of paints,A3140,3,H3,paint containing solvents,143.1,-,DE,,R2
AT ,Y16,wastes from PFU of photochemicals,-,-,H12,mixed wastes,347.6,-,DE,,R5
AT ,Y17,wastes from surface treatment,A1130,8,H6.1,etching solutions,61.3,"DE, LU",BE,,R4
AT ,Y17,wastes from surface treatment,-,5.1,H11,"nitrates, nutrides",132.7,.,DE,D12,
AT ,Y17,wastes from surface treatment,A1050,-,H11,electroplating sludge,318.2,.,DE, ,R5
AT ,Y17,wastes from surface treatment,A1050,-,H11,electroplating sludge,1409.9,.,DE, ,R4
