"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13,Column 14,Column 15
AD,Y1,,,,,Clinical medical waste,4.7,,ES,D10,,,,
AD,Y3,,,,,"Waste pharmaceuticals, drugs ans medicines",14.8,,ES,D9,,,,
AD,Y8,,,,,Waste mineral oils,297.2,,ES,,R9,,,
AD,Y9,,,,,"Waste oils/water, hydrocarbons/water, emulsions",25.1,,ES,,R3,,,
AD,Y10,,,,,Transformers with PCB,6.7,,ES,D10,,,,
AD,"Y12, Y13",,,,,Waste of pain and varnish/Waste of glue and water glue,138,,ES,D9,,,,
AD,Y16,,,,,Waste photografic chemicals,13.1,,ES,D9,,,,
AD,Y29,,,,,Fluorescent lights and batteries,16.8,,ES,,R4,,,
AD,Y31,,,,,Batteries,268,,ES,,R4,,,
AD,Y34,,,,,Lab reagents and inorganic acids,5.6,,ES,D9,,,,
AD,Y36,,,,,Asbestos,33.7,,ES,D5,,,,
AD,Y41,,,,,Halogenated organic solvents,0.3,,ES,D9,,,,
AD,Y42,,,,,Organic solvents excluding halogenated solvents,41.6,,ES,D9,,,,
AD,Y47,,,,,Ashes from the incineration of household wastes,942.8,,ES,D5,,,,
AR,Y10,"Líquidos y capacitores conteniendo PCB en su interior y materiales sólidos contaminados con PCB tales como: trapos, material absorbente, materiales porosos, Elementos de Protección Personal (EPP), tierras y carcasas de equipos eléctricos",A3180,6.1,H11|H12,Sustancias tóxicas (con efecto retardados o crónicos); ecotóxicos,181,"BE, BR",FR,D9,,,,
AR,"Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31","E Waste:
Plaquetas / circuitos impresos provenientes del desmontaje de equipos eléctricos y electrónicos, conteniendo Berilio, Cromo, Cobre, Cinc, Selenio, Cadmio, Antimonio, Mercurio y Plomo.",A1180,9,H13,Material que podría lixiviar algún constituyente peligroso,91,,BE,,R4,,,
AR,Y23,Catalizadores agotados de óxido de zinc,A2030,9,H11|H12|H13,Material tóxico y ecotoxico que puede lixiviar algún constituyente peligroso,93,,KR,,"R4, R8",,,
AT,Y__,"hazardous batteries, not containing Pb, Cd, Hg",A1170,9.0,12.0,Li-batteries,39.0,DE,FI,,R4,,,
AT,Y__,unsorted chemicals,A4140,3,13,mixture ,65.62,,DE,D10,,,,
AT,Y__,sorted chemicals,A4140,,13,test sets,24.65,,DE, ,R5,,,
AT,Y__,trasition metals,A2030,,13,spent catalysts,259.99,,DE,,R4,,,
AT,Y__,precious metals,A2030,,13,spent catalysts,1.3,,DE,,R4,,,
AT,Y__,inflamable gases ,A4130,2,3,pressure celinders,0.248,,DE,,R4,,,
AT,Y__,toxic gases,A4130,2,6.1,pressure celinders,0.939,,DE,D10,,,,
AT,Y__,metal bearing waste ,A4100,,13,sludge from gas cleaning,24.78,,DE,,R4,,,
AT,Y1,waste from health care,A4020,6.2,12.0,including medicines,23.82,,CH,,R1,,,
AT,Y1,waste from health care,A4020,6.2,6.2,infectious waste,220.63,,DE,D10,,,,
AT,Y2 ,waste from pharmaceutical production,A3140,3,3,solvents,506.81,,DE,,R2,,,
AT,Y2 ,waste from pharmaceutical production,A3150,6.1,13,halogenated solvents,9.04,,DE,,R2,,,
AT,Y2 ,waste from pharmaceutical production,A4010,3,13,solvent containing residues,730.19,,DE,,R5,,,
AT,Y2 ,waste from pharmaceutical production,A3140,3,3,solvents,405.73,DE,BE,,R2,,,
AT,Y3,waste pharmaceuticals,A4010,4.1,13,unsorted medicines,202.13,,DE,D10,,,,
AT,Y5,waste from use of wood preservatives,,-,11,tar oil impregnated wood,12374.0,,DE,,R1,,,
AT,Y5,waste from use of wood preservatives,,-,11,tar oil impregnated wood,10408.25,,DE,,R12,,,
