"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
DZ,Y23,CENDRE DE ZINC,B1010,,"H11,H13",DECHET SPECIAUX,3500.0000,,IN,,
DZ,Y8,HUILES USAGEES MOTEURS,A3020,,H12,DECHETS SPECUAX DANGEREUX,8000.0000,,DK,,
DZ,Y10,HUILES 0 BASE DES PCB,A3180,,"H11,H12",DECHETS SPECIAUX DANGEREUX,1075.0000,,BE,,
DZ,Y13,DISPERSANT MUOILLANT,A4070,,"H11,H12",DECHETS SPECIAUX DANGEREUX,0.4210,,FR,D10,
DZ,Y8,HUILES USAGEES MOTEURS,A3020,,H12,DECHETS SPECIAUX DANGEREUX,8400.0000,,GR,,
DZ,Y12,DURCISSEUR (PEROXYDE DE DIBENZOYLE),A4070,,H1,dechets spéciaux dangereux,11.5000,,FR,,
AD,Y_,,,,,Clinical medical waste,2.1,,ES,D10,
AD,Y3,,,,,"Waste pharmaceuticals, drugs and medicines",5.01,,ES,D9,
AD,Y8,,,,,Waste mineral oils,163.7,,ES,,R9
AD,Y9,,,,,"Waste oils/water, hydrocarbons/water mixtures, emulsions",250.6,,ES,,R3
AD,"Y12,Y13",,,,,Waste of pain and varnish / Waste of glue and water glue,98.4,,ES,D9,
AD,Y16,,,,,Waste photographic chemicals,6.80,,ES,D9,
AD,Y18,,,,,waste resulting from the operations of disposal of industrial wastes,137.2,,ES,D5,
AD,Y29,,,,,Fluorescent lights and batteries,15.02,,ES,,R4
AD,Y31,,,,,Batteries ,211.5,,ES,,R4
AD,Y34,,,,,Lab reagents and inorganic acids,10.0,,ES,D9,
AD,Y36,,,,,Asbestos,29.9,,ES,D5,
AD,Y41,,,,,Halogenated organic solvents,0.4,,ES,D9,
AD,Y42,,,,,Organic solvents excluding halogenated solvents,45.2,,ES,D_,
AR,Y10,"Liquids and capacitors containing PCBs inside and PCB contaminated solid materials such as rags, absorbent, porous materials, elelentos personal protection, land and housings for electrical equipment",A3180,9.0,"H11, H12",Toxic (delayed or chronic effects); Ecotoxicological,239.7,"BR, BE",FR,D9,
AR," Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31",Y48 Resolution SADS 897/2002 Printed Circuit Boards from WEE (PCB) ,A1180,,H13,Material that could leach hazardous constituent,144.7,,BE,,R4
AU,Y33,Spent pot liner,A4050,,4.3,,7200.0,"SG, MY, EG, FR",DE,,R5
AU,Y_,Spent platinum catalyst,A2030,,13.0,,400.0,NZ,US,,R8
AU,Y31,Used lead acid batteries,A1160,,"6.1, 8, 11",,5500.0,,KR,,R4
AU,Y41,Li metal batteries not in equipment,A3150,,,,5.0,NZ,US,,R4
AU,Y41,Li metal bateries in equipment,A3150,,,,2.0,NZ,US,,R4
AU,Y3,Expired platinum based pharmceuticals,A4010,,"6.1, 11, 12",,24.0,HK,DE,,R_
AU,Y31,Lead waste recovered from ULABs - transported by air,A1020,,,,3600.0,,KR,,R4
AU,Y31,Lead waste recovered from ULABs,A1020,,,,10000.0,,KR,,R4
AU,Y31,Lead waste recovered from ULABs,A1020,,,,20000.0,"SG, DE",PL,,R4
AU,Y_,Waste catalysts,A2030,,,,50.0,,KR,,R8
AU,"Y26,Y35",Waste batteries - NiCad / NiMH / Li-ion,A1170,,"8, 11, 12, 13",,700.0,,KR,,R4
AU,Y23,Waste catalysts,A2030,,"12, 4.2",,37.0,"SG, MY, EG, DE, NL",BE,,R4
AU,Y23,Waste catalysts,A2030,,"12, 4.2",,60.0,"SG, MY, EG, DE, NL",BE,,R4
AU,Y23,Waste catalysts,A2030,,12.0,,20.0,"SG, MY, EG, DE, BE",NL,,R4
AU,Y31,CRT waste glass,A2010,,12.0,,3000.0,,KR,,R4
AU,Y26,Waste batteries,A1170,,11.0,,100.0,,KR,,R4
AU,Y_,Waste catalysts,A2030,,4.2,,104.0,"NZ, PA, BS",US,,R8
AU,Y23,Waste dry cell alkaline and zinc carbon batteries,A1170,,"11, 12, 13",,120.0,"SG, MY, IN, LK, EG, MT ",ES,,R4
AU,"Y32,Y33",Spent pot liner,A4050,,4.3,,8000.0,,ES,,R5
AU,Y35,Lithium metal batteries,A3150,,,,15.0,"NZ, US",CA,,R4
AU,Y35,Lithium metal batteries in equipment,A3150,,,,2.0,"NZ, US",CA,,R4
AU,Y33,Spent pot linings,NA,,4.3,,12000.0,"SG, MY, LK, EG, FR, DE, BE",GB,,R5
AT,Y_,,A2030,4.2,11.0,transition metal catalyst,133.96,-,DE,,R4
AT,Y_,,A2030,4.1,6.1,off gas cleaning device ,0.4,-,DE,,R4
AT,Y_,,A4130,2,6.1,compressed gas tanks,17.061,-,DE,D10,
AT,Y_,,A1170,9,3,Li-batteries,54.98,-,DE,D10,
AT,Y_,,A1170,9,3,Li-batteries,42.3,DE,FI,,R4
AT,Y_,,A4140,9,9,chemicals,22.5,-,DE,,R5
AT,Y_,,A1180,,11,IT equipment,15.78,-,DE,,R4
AT,Y_,,A1180,,13,electrical equipment,86.94,-,DE,,R12
AT,Y1,,A4020,6.2,6.2,mixed wastes ,12.92,-,CH,,R1
AT,Y1,,A4020,6.2,6.2,infectious wastes,287.562,-,DE,D10,
AT,Y2,,A3150,6.1,13,dichloromethane,28.56,-,DE,,R2
AT,Y2,,A3140,3,3,ethanol,949.81,-,DE,,R2
AT,Y2,,A4010,3,3,solvent mixtures,348.17,"DE, NL",BE,,R2
AT,Y2,,A4010,3,3,iodine containing solvents,369.35,-,de,,R5
AT,Y3, ,A4010,4.1,4.1,unsorted pharmaceuticals,16.56,-,DE,D10,
AT,Y3, ,A4010,6.1,6.1,expired pharmaceuticals,9.159,-,DE,,R4
AT,Y6,,A3140,-,11,solvents from degrassing,0.693,-,DE,,R2
AT,Y6,,A3140,3,3,solvent mixtures,840.854,-,DE,,R2
AT,Y6,,A3150,6.1,11,perchlorethylene,21.8,-,DE,,R2
AT,Y6,,A3140,3,3,solvent mixtures,1.5,-,DE,,R13
AT,Y6,,A3150,6.1,11,perchlorethylene,11.1,-,DE,,R13
AT,Y6,,A3140,3,3,solvent mixtures,530.46,DE,NL,,R2
AT,Y8,,,,13,oily wastes from garages,1010.36,-,CH,,R1
AT,Y8,,,,13,oily wastes from garages,309.58,-,DE,,R1
AT,Y8,,A3020,9,13,mineral oil,20357.82,-,DE,,R9
AT,Y8,,A3020,,13,transformer oil,580.19,-,DE,,R9
AT,Y8,,A3020,9,13,mineral oil,91.88,-,SK,,R1
AT,Y8,,A3020,9,13,drilling oil,832.46,-,DE,,R9
AT,Y11,,,,11,demolition waste,885.245,DE,NL,,R5
AT,Y11,,,,11,demolition waste,998.725,DE,NL,,R5
AT,Y12,,A3140,3,3,solvent mixtures,321.6,-,DE,,R12
AT,Y12,,A3140,3,3,solvent mixtures,169.01,-,DE,,R2
AT,Y12,,A4070,3,3,paint sludge,23.8,-,DE,D10,
AT,Y12,,A4070,3,3,paint sludge,163.04,-,DE,,R12
AT,Y14,,A4140,3,3,unsorted chemicals,11.96,-,DE,D10,
AT,Y15,,A4080,1,13,waste explosives,0.509,DE,CH,D10,
AT,Y17,,A1010,,11,lead containing brass,3.592,-,DE,,R4
AT,Y17,,A1130,6.1,6.1,etching solution,61.6,-,DE,,R4
AT,Y17,,A1060,8,8,etching solution,116.64,-,DE,,R4
AT,Y17,,A1050,,11,Ni-containing sludge,125.7,-,DE,,R4
AT,Y17,,A1050,,11,galvanic sludge,2263.588,-,DE,,R4
AT,Y18,,,4.1,13,pre-mixed wastes,355.32,-,DE,,R1
AT,Y18,,A3120,,13,FLUFF,1859.93,-,CH,,R1
AT,Y18,,A3120,,13,FLUFF,1059.76,-,DE,D10, 
AT,Y18,,A3120,,13,FLUFF,1234.1,-,DE, ,R12
AT,Y18,,A3120,,13,FLUFF,1729.1,-,DE, ,R5
AT,Y18,,A4100,,11,V-containing ash from oil incineration,352.065,-,DE,,R4
AT,Y18,,A4100,,13,sludge from flue gas cleaning,231.99,-,DE,,R11
