"code","description"
"Y1","Clinical wastes from medical care in hospitals, medical centers and clinics"
"Y2","Wastes from the production and preparation of pharmaceutical products"
"Y3","Waste pharmaceuticals, drugs and medicines"
"Y4","Wastes from the production, formulation and use of biocides and phytopharmaceuticals"
"Y5","Wastes from the manufacture, formulation and use of wood preserving chemicals"
"Y6","Wastes from the production, formulation and use of organic solvents"
"Y7","Wastes from heat treatment and tempering operations containing cyanides"
"Y8","Waste mineral oils unfit for their originally intended use"
"Y9","Waste oils/water, hydrocarbons/water mixtures, emulsions"
"Y10","Waste substances and articles containing or contaminated with polychlorinated biphenyls (PCBs) and/or polychlorinated terphenyls (PCTs) and/or polybrominated biphenyls (PBBs)"
"Y11","Waste tarry residues arising from refining, distillation and any pyrolytic treatment"
"Y12","Wastes from production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish"
"Y13","Wastes from production, formulation and use of resins, latex, plasticizers, glues/adhesives"
"Y14","Waste chemical substances arising from research and development or teaching activities which are not identified and/or are new and whose effects on man and/or the environment are not known"
"Y15","Wastes of an explosive nature not subject to other legislation"
"Y16","Wastes from production, formulation and use of photographic chemicals and processing materials"
"Y17","Wastes resulting from surface treatment of metals and plastics"
"Y18","Residues arising from industrial waste disposal operations"
"Y19","Metal carbonyls"
"Y20","Beryllium; beryllium compounds"
"Y21","Hexavalent chromium compounds"
"Y22","Copper compounds"
"Y23","Zinc compounds"
"Y24","Arsenic; arsenic compounds"
"Y25","Selenium; selenium compounds"
"Y26","Cadmium; cadmium compounds"
"Y27","Antimony; antimony compounds"
"Y28","Tellurium; tellurium compounds"
"Y29","Mercury; mercury compounds"
"Y30","Thallium; thallium compounds"
"Y31","Lead; lead compounds"
"Y32","Inorganic fluorine compounds excluding calcium fluoride"
"Y33","Inorganic cyanides"
"Y34","Acidic solutions or acids in solid form"
"Y35","Basic solutions or bases in solid form"
"Y36","Asbestos (dust and fibres)"
"Y37","Organic phosphorus compounds"
"Y38","Organic cyanides"
"Y39","Phenols; phenol compounds including chlorophenols"
"Y40","Ethers"
"Y41","Halogenated organic solvents"
"Y42","Organic solvents excluding halogenated solvents"
"Y43","Any congenor of polychlorinated dibenzo-furan"
"Y44","Any congenor of polychlorinated dibenzo-p-dioxin"
"Y45","Organohalogen compounds other than substances referred to in this Annex (e.g. Y39, Y41, Y42, Y43, Y44)"
"Y46","Wastes collected from households"
"Y47","Residues arising from the incineration of household wastes"
