"code", "description"
"D1","Deposit into or onto land, (e.g., landfill, etc.)"
"D2","Land treatment, (e.g., biodegradation of liquid or sludgy discards in soils, etc.)"
"D3","Deep injection, (e.g., injection of pumpable discards into wells, salt domes of naturally occurring repositories, etc.)"
"D4","Surface impoundment, (e.g., placement of liquid or sludge discards into pits, ponds or lagoons, etc.)"
"D5","Specially engineered landfill, (e.g., placement into lined discrete cells which are capped and isolated from one another and the environment, etc.)"
"D6","Release into a water body except seas/oceans"
"D7","Release into seas/oceans including sea-bed insertion"
"D8","Biological treatment not specified elsewhere in this Annex which results in final compounds or mixtures which are discarded by means of any of the operations in Section A"
"D9","Physico chemical treatment not specified elsewhere in this Annex which results in final compounds or mixtures which are discarded by means of any of the operations in Section A, (e.g., evaporation, drying, calcination, neutralization, precipitation, etc.)"
"D10","Incineration on land"
"D11","Incineration at sea"
"D12","Permanent storage (e.g., emplacement of containers in a mine, etc.)"
"D13","Blending or mixing prior to submission to any of the operations in Section A"
"D14","Repackaging prior to submission to any of the operations in Section A"
"D15","Storage pending any of the operations in Section A"
