"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
"Country of 
Import",Y code,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
imported
(in metric tons)","Country
of Transit","Country of 
origin","D
code","R
code"
AD,Y46,,,,,,5188.43,,ES,,R1
AT,Y_,treated wood,,,13.0,treated wood,551.0,,DE,,R3
AT,Y_,treated wood,,,13.0,treated wood,693.0,,DE,,R3
AT,Y_,,A4100,,11.0,Ni-bearing fly ash,242.0,DE,NL,,R4
AT,Y_,,,,13.0,tungsten carbide sludge,60.0,DE,FR,,R4
AT,Y_,,A2030,,11.0,catalysts,127.0,DE,MX,,R4
AT,Y_,,A2030,,11.0,catalysts,589.0,DE,DK,,R4
AT,Y_,,A2030,,11.0,catalysts,3.436,DE,PL,,R4
AT,Y_,,A2030,,11.0,catalysts,3.393,,IT,,R4
AT,Y_,,A2030,,11.0,catalysts,227.0,,IT,,R5
AT,Y_,,A2030,,11.0,catalysts,3.518,DE,BE,,R8
AT,Y1,medical wastes,A4020,6.2,6.2,infectious wastes,40.0,SI,HR,D10,
AT,Y3,waste medicines,A4010,9.0,13.0,collected medicines and production residues,22.0,SI,HR,D10,
AT,Y3,waste medicines,A4010,9.0,13.0,collected medicines and production residues,11.0,"SI,HR",BA,D10,
AT,Y4,wastes from p.f.u. of biocides,A4030,6.1,6.1,pesticides,15.0,SI,HR,D10,
AT,Y4,wastes from p.f.u. of biocides,A4030,6.1,6.1,pesticides,60.0,,SI,D10,
AT,Y4,wastes from p.f.u. of biocides,A4030,6.1,6.1,re-moxed wastes,139.0,,IT,D10,
AT,Y4,wastes from p.f.u. of biocides,A4030,6.1,6.1,pesticides,2.0,SI,HR,D10,
AT,Y5,wastes from p.f.u. of wood preservatives,A4040,6.1,13.0,solvent containing sludge,280.0,,HU,D10,
AT,Y6,wastes from production of solvents,A3160,3.0,3.0,solvents ,40.0,SI,HR,D10,
AT,Y6,wastes from production of solvents,A3160,3.0,3.0,pre-mixed wastes,3.622,,IT,D10,
AT,Y6,wastes from production of solvents,A3160,3.0,3.0,pre-mixed wastes,2.133,,IT,D10,
AT,Y8,waste oil,A4130,,13.0,oil contaminated packaging,95.0,,HU,D10,
AT,Y8,waste oil,,4.1,13.0,mixed wastes,406.0,SI,HR,D10,
AT,Y8,waste oil,A3020,,13.0,waste oil,405.0,,SI,,R1
AT,Y8,waste oil,A3020,,13.0,waste oil,300.0,SI,HR,D10,
AT,Y8,waste oil,A3020,,13.0,oil water mixtures,24.0,,SI,D8,
AT,Y8,waste oil,,,13.0,oil filter,96.0,,SI,,R3
AT,Y8,waste oil,,,13.0,oily wastes from garages,440.0,SI,HR,D10,
AT,Y9,oil/water mixtures,,,13.0,oil contaminated soil,236.0,,SI,D8,
AT,Y9,oil/water mixtures,,,13.0,sludge from tank cleaning,40.0,SI,HR,D9,
AT,Y9,oil/water mixtures,,,13.0,sludge from tank cleaning,623.0,,IT,D10,
AT,Y9,oil/water mixtures,,,13.0,content of oil/water separators,22.0,,SI,D9,
AT,Y9,hydrocarbon/water mixtures,,,12.0,break fluid,15.0,,DE,,R3
AT,Y9,hydrocarbon/water mixtures,,,12.0,antifreez,560.0,,DE,,R3
AT,Y10,"PCBs, PCTs",A3180,9.0,11.0,capacitors,72.0,,CH,D10,
AT,Y10,"PCBs, PCTs",A3180,9.0,11.0,contaminated soil,69.0,,IT,D10,
AT,Y10,"PCBs, PCTs",A3180,9.0,11.0,contaminated waste oil,600.0,,IT,D10,
AT,Y10,"PCBs, PCTs",A3180,9.0,11.0,contaminated waste oil,5.0,,IT,D10,
AT,Y11,tarry wastes,A1190,,11.0,tarr isolated cable,466.0,,CH,,R13
AT,Y11,tarry wastes,A3190,,11.0,various residues,2.622,,IT,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,6.1,11.0,pre-mixed wastes,8.033,,IT,D10,
AT,Y12,wastes from p.f.u. of paints,A3140,3.0,3.0,solvent containing wastes,320.0,SI,HR,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,solvent containing wastes,49.0,HU,RS,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,solvent containing wastes,12.0,"HR,SI",BA,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,solvent containing wastes,1.392,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,,4.1,4.1,mixed wastes from garages,923.0,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,A3140,3.0,3.0,solvent containing wastes,2.831,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,4.1,4.1,solvent containing paints,165.0,SI,HR,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,solvent containing paints,324.0,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,paint sludge,802.0,SI,HR,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,3.0,3.0,paint sludge,1.85,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,4.1,4.1,mixed wastes  ,1.4,,SI,D10,
AT,Y12,wastes from p.f.u. of paints,A4070 ,4.1,4.1,pre-mixed wastes,1.351,,IT,D10,
AT,Y13,wastes from p.f.u. of resins,A3050,4.1,4.1,production residues,19.0,SI,HR,D10,
AT,Y13,wastes from p.f.u. of resins,,4.2,4.2,spent catalysts,74.0,,DE,,R4
AT,Y14,waste chemicals,A4140,6.1,6.1,unsorted chemicals,23.0,SI,HR,D10,
AT,Y14,waste chemicals,A4140,6.1,6.1,unsorted chemicals,30.0,,IT,D10,
AT,Y17,wastes from surface treatment,A1050,,11.0,galvanik sludge,17.0,,CH,,R4
AT,Y17,wastes from surface treatment,A1130,8.0,8.0,pickling solution,264.0,,CH,,R4
AT,Y17,wastes from surface treatment,A1130,8.0,8.0,pickling solution,1.584,,DE,,R4
AT,Y17,wastes from surface treatment,A1060,8.0,8.0,pickling solution,903.0,,CH,,R4
AT,Y17,wastes from surface treatment,A1060,8.0,8.0,pickling solution,408.0,,SI,,R4
AT,Y17,wastes from surface treatment,,,13.0,precious metals bearing solution,39.0,,DE,,R4
AT,Y17,wastes from surface treatment,B1010,,13.0,oily metal sludge,56.0,,CH,,R4
AT,Y17,wastes from surface treatment,B1010,,13.0,oily metal sludge,56.0,,DE,,R4
AT,Y17,wastes from surface treatment,B1010,,13.0,oily metal sludge,181.0,,CH,,R4
AT,Y17,wastes from surface treatment,B1010,,13.0,oily metal sludge,1.022,,DE,,R4
AT,Y17,wastes from surface treatment,A1060,8.0,8.0,pickling solution,57.0,SI,HR,D9,
AT,Y18,Wastes from waste treatment,A4100,4.3,13.0,ball mill dust,690.0,,IT,D14,
AT,Y18,wastes from waste treatment,,,13.0,concentrates,1.0,HU,RS,D10,
AT,Y18,wastes from waste treatment,A2050,,11.0,asbestos cement,1.467,,IT,D5,
AT,Y18,wastes from waste treatment,,,13.0,contaminated soil,210.0,"HR,SI",BA,D8,
AT,Y18,wastes from waste treatment,A1180,,13.0,waste electronical devices,67.0,,DE,,R3
AT,Y18,wastes from waste treatment,A1180,,13.0,waste electronical devices,259.0,,DE,,R4
AT,Y18,wastes from waste treatment,A4060,,13.0,slufge from tank cleaning,2.954,,SI,D10,
AT,Y18,wastes from waste treatment,A4060,,13.0,mixed wastes from garages,10.0,SI,HR,D10,
AT,Y18,wastes from waste treatment,A4060,,13.0,mixed wastes from garages,176.0,,SI,D10,
AT,Y18,wastes from waste treatment,A4060,4.1,13.0,mixed wastes,96.0,,IT,D10,
AT,Y18,wastes from waste treatment,,4.1,13.0,pre-mixed wastes,24.0,,IT,D10,
AT,Y18,wastes from waste treatment,A3140,3.0,13.0,solvent contaminated wastes,48.0,,IT,D10,
AT,Y18,wastes from waste treatment,A4130,9.0,12.0,contaminated packaging,163.0,,HU,D10,
AT,Y18,wastes from waste treatment,A4010,6.1,13.0,mixed collected wastes,275.0,SI,HR,D10,
AT,Y18,wastes from waste treatment,A4010,6.1,13.0,production residues,94.0,,HU,D10,
AT,Y18,wastes from waste treatment,,4.1,4.1,pre-mixed wastes,1.571,,IT,D10,
AT,Y18,wastes from waste treatment,A3140,,13.0,solvent-water mixtures,715.0,,HU,D10,
AT,Y18,wastes from waste treatment,A4140,6.1,11.0,waste chemicals,40.0,SI,HR,D9,
AT,Y18,wastes from waste treatment,,,13.0,contaminated resisdues,536.0,,DE,,R1
AT,Y21,Cr-VI containing wastes,A4140,6.1,8.0,chemicals,9.0,SI,HR,D9,
AT,Y22,copper compounds,B1100,,13.0,copper slag,920.0,,SI,,R4
AT,Y22,copper compounds,A1100,,13.0,filter dusts,135.0,,DE,,R4
AT,Y22,copper compounds,A1100,,13.0,filter dusts,15.0,,CH,,R4
AT,Y22,copper compounds,B1070,,13.0,copper sludge,822.0,,IT,,R4
AT,Y22,copper compounds,A1120,,13.0,copper sludge,325.0,DE,BE,,R4
AT,Y22,copper compounds,,,13.0,copper bearing residues,650.0,,IT,,R4
AT,Y23,zinc compounds,A1100,,13.0,ashes,230.0,,DE,,R4
AT,Y23,zinc compounds,A1170,,13.0,batteries,379.0,"ES,FR,IT",PT,,R4
AT,Y23,zinc compounds,A1170,,13.0,batteries,15.0,SI,HR,,R12
AT,Y23,zinc compounds,A1170,,13.0,batteries,28.0,,SI,,R4
AT,Y23,zinc compounds,,,13.0,concentrates,51.0,SI,HR,D9,
AT,Y23,zinc compounds,A1170,,13.0,batteries,22.0,,CZ,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,3.0,DE,CA,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,2.0,"DE,GB,NL,SA,ID,SG,EG,IT",AU,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,3.0,,CH,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,1.0,,CZ,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,2.0,DE,FI,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,4.0,DE,FR,,R4
AT,Y29,mecury wastes,A1030,8.0,13.0,amalgam,1.0,"DK,DE",FR,,R4
AT,Y29,mecury wastes,A1180,,13.0,fluorescent tubes,35.0,SI,HR,,R4
AT,Y31,lead compounds,A4100,,6.1,filter dusts,160.0,,SI,D9,
AT,Y31,lead compounds,A2010,,11.0,lead glass,24.0,,CH,,R4
AT,Y31,lead compounds,A2010,,11.0,X-ray tubes,40.0,SI,HR,,R5
AT,Y31,lead compounds,A1180,,11.0,monitors,314.0,,HU,,R4
AT,Y31,lead compounds,A1160,8.0,11.0,lead acid batteries,23.0,,LI,,R13
AT,Y31,lead compounds,A1160,8.0,11.0,lead acid batteries,48.0,,CH,,R13
AT,Y31,lead compounds,A1160,8.0,11.0,lead acid batteries,7.683,,HU,,R4
AT,Y31,lead compounds,A1160,8.0,11.0,lead acid batteries,356.0,"IT,SI",MT,,R4
AT,Y31,lead compounds,A1010,6.1,11.0,lead sludge,98.0,,HU,,R4
AT,Y33,inorganic cyanides,,6.1,6.1,precious metals bearing solution,12.0,,DE,,R4
AT,Y34,acids,A1060,8.0,8.0,pickling solutions,194.0,SI,HR,D9,
AT,Y34,acids,A1060,8.0,8.0,pickling solutions,807.0,SI,HR,,R4
AT,Y34,acids,A1060,8.0,8.0,soldering solution,74.0,,DE,,R5
AT,Y36,asbestos,A2050,,11.0,asbestos cement,14.507,,IT,D1,
AT,Y41,halogenated solvents,A4160,6.1,6.1,activated carbon,235.0,,CZ,,R5
AT,Y41,halogenated solvents,A4160,6.1,6.1,activated carbon,1.324,,DE,,R5
AT,Y41,halogenated solvents,A4160,6.1,6.1,activated carbon,725.0,,DE,,R7
